# form	sources — set aside by tools/build_lexicon.py, out of scope for a
# single-word speller and kept for whatever handles phrases later
азан шақырды	kazdict
азан шақырып қойған аты	kazdict
азан қағу	kazdict
азан-қазан болды	kazdict
азан: азан салды	kazdict
азап /128	kazdict
азап айдады	kazdict
азап арқа	kazdict
азап берді	kazdict
азап болды	kazdict
азап жасау//азап ету	kazdict
азап көрді	kazdict
азап пен қазаңды берсін	kazdict
азап салды	kazdict
азап тартты	kazdict
азап шеккен арудай	kazdict
азап шекті	kazdict
азап шекті [көрді	kazdict
азапқа салды	kazdict
азапқа түсті	kazdict
азар i	kazdict
азар ii	kazdict
азар адам	kazdict
азар берді	kazdict
азар болса	kazdict
азар да безер	kazdict
азар да безер болды	kazdict
азар дегенде	kazdict
азар кешке	kazdict
азар көрді	kazdict
азасын өткерді	kazdict
азат бас	kazdict
азат болды	kazdict
азат болды [қылды	kazdict
азат етті	kazdict
азат етілді	kazdict
азат жол	kazdict
азат келу	kazdict
азат кереге	kazdict
азат көз	kazdict
азбан айғырдай азынау	kazdict
азбан теке	kazdict
азбан құл	kazdict
аздан соң	kazdict
азды көпке	kazdict
аздық етті	kazdict
аздық: аздық қылды	kazdict
азеотроп қоспасы	kazdict
азиму нас	kazdict
азот [грек. a - бей	kazdict
азот айналымы	kazdict
азот бактериясы	kazdict
азот тыңайтқыш	kazdict
азот қышқылы	kazdict
азоттық негіз	kazdict
азу i	kazdict
азу ii	kazdict
азу ағаш	kazdict
азу жармаған құнан	kazdict
азу салды	kazdict
азу тіс	kazdict
азу тісі алты қарыс	kazdict
азу тісі ақсиған	kazdict
азу тісі балғадай	kazdict
азу тісін ақситты	kazdict
азу тісін басты	kazdict
азу тісін қайрады	kazdict
азу тісін қайраған	kazdict
азу шалды	kazdict
азулы айғырға иығын алдырған сәуріктей	kazdict
азуы [алты	kazdict
азуы алты қарыс	kazdict
азуы басулы	kazdict
азуы батты	kazdict
азуын айға біледі	kazdict
азуын батырды	kazdict
азуын шайнады	kazdict
азуын қайрады	kazdict
азуынан шалды	kazdict
азшылық топ	kazdict
азшылық құқықтары	kazdict
азы мен тозы	kazdict
азына i	kazdict
азына ii	kazdict
азына iii	kazdict
азына күн	kazdict
азып-тозып кетті	kazdict
азығың сайланып	kazdict
азығыңды сайлап	kazdict
азық дорба	kazdict
азық қылды	kazdict
азық өлшемі	kazdict
азық-түлік бағдарламасы	kazdict
азық-түлік дайындау	kazdict
азық-түлік дүкені	kazdict
азық-түлік себеті	kazdict
азған сөздер	kazdict
азған тозған	kazdict
азғындаған нарлар	kazdict
азғындық жолға түсті	kazdict
азұқ оқ	kazdict
аиуһан нас	kazdict
ай /114	kazdict
ай /338	kazdict
ай /76	kazdict
ай [аймақ	kazdict
ай i	kazdict
ай ii	kazdict
ай iii	kazdict
ай арасы толас болады	kazdict
ай арасы толас болды	kazdict
ай артынан ай өтті	kazdict
ай асты	kazdict
ай аунатып	kazdict
ай бас сайын	kazdict
ай батты	kazdict
ай батқандай адастыру	kazdict
ай батқандай жоғалу	kazdict
ай бетінен кіріп	kazdict
ай дейтін ажа жоқ	kazdict
ай десе аузы	kazdict
ай десе аузы бар	kazdict
ай дидарлы	kazdict
ай жарым болды	kazdict
ай жарым шамасында	kazdict
ай жарығы	kazdict
ай жарық	kazdict
ай жаңасы	kazdict
ай жүз	kazdict
ай жүзді	kazdict
ай жүр	kazdict
ай жұрнақ	kazdict
ай календары	kazdict
ай кемпірқосақ	kazdict
ай керек	kazdict
ай кәпір атанды	kazdict
ай көрген күн	kazdict
ай маңдай	kazdict
ай маңдайлы	kazdict
ай мен күндей	kazdict
ай мен күндей егіз	kazdict
ай мен күндей нұры бар	kazdict
ай мен күндей сұлу	kazdict
ай мен күндей толықсыту	kazdict
ай мүдіреді	kazdict
ай мүйіз	kazdict
ай мүйізді	kazdict
ай мүйізді алты күн	kazdict
ай мүйізді қошқар	kazdict
ай мүйізді қошқардай	kazdict
ай мүсінді	kazdict
ай нұры	kazdict
ай ортақ	kazdict
ай отырып туды	kazdict
ай сайын	kazdict
ай сайынғы жәрдемақы	kazdict
ай сырға	kazdict
ай сүттей жарық	kazdict
ай сәулесі	kazdict
ай сәулесіндей қылаңдау	kazdict
ай тастай қараңғы	kazdict
ай тасы	kazdict
ай таңбалы	kazdict
ай тоғау	kazdict
ай туды	kazdict
ай туғандай	kazdict
ай тұтылды	kazdict
ай шағылған шыныдай	kazdict
ай шықты	kazdict
ай қабақ	kazdict
ай қарады	kazdict
ай қараңғы	kazdict
ай қараңғысы	kazdict
ай қасында шолпандай	kazdict
ай қораланды	kazdict
ай қорғалады	kazdict
ай қорғалау	kazdict
ай құлақтану	kazdict
ай құрғатпай	kazdict
ай құшақ	kazdict
ай-ай: ай-айдың оты басқа	kazdict
ай-айдың оты басқа	kazdict
ай-жайға қарамады	kazdict
ай-күні болды [жақындады	kazdict
ай-түй жоқ	kazdict
ай-шай жоқ	kazdict
айбалам салды	kazdict
айбалтаның сабындай	kazdict
айбар көрсетті [жасады	kazdict
айбар көрінді	kazdict
айбар мүйізді	kazdict
айбар: айбар шашты	kazdict
айбарақ салды	kazdict
айбарақ қылды	kazdict
айбат көрсетті [шашты	kazdict
айбат шекті	kazdict
айбат қылды	kazdict
айбатты арыстандай	kazdict
айбаты арыстанға ұқсау	kazdict
айбын i	kazdict
айбын іі	kazdict
айбынын сыртына шығарды	kazdict
айбықы адам	kazdict
айда былпым	kazdict
айдай айқын	kazdict
айдай алмас тегершіктер	kazdict
айдай аян	kazdict
айдай болған ақ жүз	kazdict
айдай жар	kazdict
айдай жарқын	kazdict
айдай көзі жарқырау	kazdict
айдай нұрлы	kazdict
айдай сызылған	kazdict
айдай сұлу	kazdict
айдай таза	kazdict
айдай таға	kazdict
айдай шолу	kazdict
айдай әлем	kazdict
айдалада ай туғандай	kazdict
айдалада аты өліп жаяу қалған жолаушыдай	kazdict
айдаладағы біреу	kazdict
айдама: айдама бәйге	kazdict
айдан анық	kazdict
айдан анық [ашық	kazdict
айдан ап-анық	kazdict
айдан ашық	kazdict
айдан ұл тудырып	kazdict
айдан-айлар жүрді	kazdict
айдап сал	kazdict
айдап салды	kazdict
айдап сауу	kazdict
айдап тұру	kazdict
айдап шықты	kazdict
айдап әкетті	kazdict
айдап өргізіп	kazdict
айдар көбейсін	kazdict
айдар тақты	kazdict
